Header,ModelName,Field,Direct,Note,OtherField
Geography Applied To-Notes,PlanGeneralCharacteristics,GeographiesTargetedNote,FALSE,There is one note shared between questions here,
Geography Type,PlanGeneralCharacteristics,GeographiesTargetedTypes,TRUE,,
Geography Type-Notes,PlanGeneralCharacteristics,GeographiesTargetedNote,FALSE,There is one note shared between questions here,
Grants,PlanPayments,PayType,FALSE,Boolean: Possibly not needed,
Helpdesk,PlanOpsEvalAndLearning,HelpdeskUse,TRUE,,
Helpdesk-Notes,PlanOpsEvalAndLearning,HelpdeskUseNote,TRUE,,
Is APM Model,PlanGeneralCharacteristics,AlternativePaymentModelTypes,TRUE,"Special Handling required, this is mapped out elsewhere for the types",
Is Care Coordination,PlanGeneralCharacteristics,CareCoordinationInvolved,TRUE,,
Is Care Coordination-Notes,PlanGeneralCharacteristics,CareCoordinationInvolvedNote,TRUE,,
Item Child Count,NOT_NEEED,,,,
Key Dates-Notes,?,,,,
Learning System,,ModelLearningSystems,FALSE,Boolean: Possibly not needed. HANDLE SPECIALLY FOR NO,
Learning System Type,PlanOpsEvalAndLearning,ModelLearningSystems,FALSE,Multiselect/Checkbox,ModelLearningSystemsOther
Learning System Type-Notes,PlanOpsEvalAndLearning,ModelLearningSystemsNote,TRUE,,
Manage C/D Enrollment,PlanGeneralCharacteristics,ManagePartCDEnrollment,TRUE,,
Manage C/D Enrollment-Notes,PlanGeneralCharacteristics,ManagePartCDEnrollmentNote,TRUE,,
Medicare Provider Type,PlanParticipantsAndProviders,MedicareProviderType,TRUE,,
Model Category,PlanBasics,ModelCategory,TRUE,,
Model Key Characteristics,PlanGeneralCharacteristics,KeyCharacteristics,TRUE,,KeyCharacteristicsOther
Model Key Characteristics-Notes,PlanGeneralCharacteristics,KeyCharacteristicsNote,TRUE,,
Model Overview-Goal,PlanBasics,Goal,TRUE,,
Model Overview-Problem,PlanBasics,Problem,TRUE,,
Model Overview-Test Intervention,PlanBasics,TestInterventions,TRUE,,
Model Type,PlanBasics,ModelType,TRUE,,
Model Type-Notes,?,,,Doesn't exist,
Model Wrap-Up End Date,PlanBasics,WrapUpEnds,TRUE,,
ModelTeam-DueDate,?,,,,
ModelTeam-Notes,?,,,,
Modified,ModelPlan,ModifiedDts,TRUE,,
Modified By,ModelPlan,ModifiedBy,TRUE,,
New Or Existing Model,PlanGeneralCharacteristics,ExistingModel,TRUE,,
Non-Claims-Based Calculator,PlanPayments,PaymentCalculationOwner,TRUE,,
Non-Claims-Based Payment Type,PlanPayments,NonClaimsPayments,FALSE,Multiselect,NonClaimsPaymentsOther
Non-Claims-Based Payments,NOT_NEEED,NonClaimsPayments,FALSE,"This field is captured in MINT by the Non-Claims Based Payment type, We will have to see which field to use here... UPDATE IT LOOKS LIKE WE SHOULD USE THE OTHER FIELD",
Notify FFS,PlanPayments,ShouldAnyProvidersExcludedFFSSystems,TRUE,,
Notify FFS-Notes,PlanPayments,ShouldAnyProviderExcludedFFSSystemsNote,TRUE,,
Number Of Participants,MANUAL_ENTRY,ExpectedNumberOfParticipants,TRUE,PlanParticipantsAndProviders        ExpectedNumberOfParticipants THERE IS A CONFIDENCE NOTE FIELD,
Number Of Participants-Notes,?,,,Doesn't exist,
Obstacles Anticipated,PlanOpsEvalAndLearning,AnticipatedChallenges,TRUE,,
Other Agency State,PlanOpsEvalAndLearning,AgencyOrStateHelp,TRUE,,
Other Agency State-Notes,PlanOpsEvalAndLearning,AgencyOrStateHelpNote,TRUE,,
Paricipant Assumes Risk,PlanParticipantsAndProviders,ParticipantAssumeRisk,TRUE,,
Paricipant Risk Type,PlanParticipantsAndProviders,RiskType,TRUE,,
Participant Communication,PlanParticipantsAndProviders,CommunicationMethod,TRUE,,CommunicationMethodOther
Participant Communication-Notes,PlanParticipantsAndProviders,CommunicationNote,TRUE,,
Participant Coordination,PlanParticipantsAndProviders,CoordinateWork,TRUE,,
Participant Coordination-Notes,PlanParticipantsAndProviders,CoordinateWorkNote,TRUE,,
Participant Data,PlanOpsEvalAndLearning,DataToSendParticicipants,TRUE,,DataToSendParticicipantsOther
Participant Data-Notes,PlanOpsEvalAndLearning,DataToSendParticicipantsNote,TRUE,,
Participant ID Type,PlanParticipantsAndProviders,ParticipantsIds,FALSE,Multiselect,
Participant ID Type-Notes,PlanParticipantsAndProviders,ParticipantsIDSNote,TRUE,,
Participant IDs,NOT_NEEED,ParticipantsIds,FALSE,"Not NEEDED, the ID type field gives us the data we need",
Participant Management,PlanParticipantsAndProviders,ProviderAddMethod,TRUE,,
Participant Management-Notes,PlanParticipantsAndProviders,ProviderAddMethodNote,TRUE,,
Participant Recruitment,PlanParticipantsAndProviders,RecruitmentMethod,TRUE,,RecruitmentOther
Participant Recruitment-Notes,PlanParticipantsAndProviders,RecruitmentNote,TRUE,,
Participant Risk Type-Notes,PlanParticipantsAndProviders,RiskNote,TRUE,,
Participant Selection,PlanParticipantsAndProviders,SelectionMethod,TRUE,,SelectionOther
Participant Selection-Notes,PlanParticipantsAndProviders,SelectionNote,TRUE,,
Participants,PlanParticipantsAndProviders,Participants,TRUE,,ParticipantsOther
Participants-Notes,PlanParticipantsAndProviders,ParticipantsNote,TRUE,,
Payment Complexity,PlanPayments,ExpectedCalculationComplexityLevel,TRUE,,
Payment Complexity-Notes,PlanPayments,ExpectedCalculationComplexityLevelNote,TRUE,,
Payment Frequency,PlanPayments,AnticipatedPaymentFrequency,TRUE,,
Payment Frequency-Notes,PlanPayments,AnticipatedPaymentFrequencyNote,TRUE,,
Payment Notes,?,,,,
Payment Recipients,PlanPayments,PayRecipients,TRUE,,
Payment Recipients-Notes,PlanPayments,PayRecipientsNote,TRUE,,
Payment Recovery,PlanPayments,WillRecoverPayments,TRUE,,
Payment Recovery-Notes,PlanPayments,WillRecoverPaymentsNote,TRUE,,
Payment Start,PlanPayments,PaymentStartDate,TRUE,,
Payment Start-Notes,PlanPayments,PaymentStartDateNote,TRUE,,
Performance Benchmark,PlanOpsEvalAndLearning,BenchmarkForPerformance,TRUE,,
Performance Benchmark-Notes,PlanOpsEvalAndLearning,BenchmarkForPerformanceNote,TRUE,,
Performance End Date,PlanBasics,PerformancePeriodEnds,TRUE,,
Performance Scores,PlanOpsEvalAndLearning,ComputePerformanceScores,TRUE,,
Performance Scores-Notes,PlanOpsEvalAndLearning,ComputePerformanceScoresNote,TRUE,,
Performance Start Date,PlanBasics,PerformancePeriodStarts,TRUE,,
Plans Contract Update,PlanGeneralCharacteristics,PlanContractUpdated,TRUE,,
Plans Contract Update-Notes,PlanGeneralCharacteristics,PlanContractUpdatedNote,TRUE,,
Population Impacted,PlanBeneficiaries,Beneficiaries,TRUE,,BeneficiariesOther
Population Impacted-Notes,PlanBeneficiaries,BeneficiariesNote,TRUE,,
Population Size,MANUAL_ENTRY,NumberPeopleImpacted,TRUE,PlanBeneficiaries        NumberPeopleImpacted is a number field. There is a Confidence Note field though,
Population Size-Notes,?,,,Doesn't exist,
Provider Overlap,PlanParticipantsAndProviders,ProviderOverlap,TRUE,,
Provider Overlap-Notes,PlanParticipantsAndProviders,ProviderOverlapNote,TRUE,,
Quality Reporting Starts,MANUAL_ENTRY,QualityReportingStarts,TRUE,THIS IS DATE field!!!  Can't handle PlanOpsEvalAndLearning        QualityReportingStarts,QualityReportingStartsOther
Resembles Existing Model,PlanGeneralCharacteristics,ResemblesExistingModelWhich,TRUE,,
Resembles Existing Model Lookup,NOT_NEEED,ResemblesExistingModelWhich,TRUE,THIS LOOKS LIKE A SHAREPOINT COLUMN,
Resembles Existing Model-Notes,PlanGeneralCharacteristics,ResemblesExistingModelNote,TRUE,,
Review Plan Bids,PlanGeneralCharacteristics,CollectPlanBids,TRUE,,
Review Plan Bids-Notes,PlanGeneralCharacteristics,CollectPlanBidsNote,TRUE,,
Risk Adjustments-Feedback Results,PlanOpsEvalAndLearning,RiskAdjustFeedback,TRUE,,
Risk Adjustments-Notes,PlanOpsEvalAndLearning,RiskAdjustNote,TRUE,,
Risk Adjustments-Others,PlanOpsEvalAndLearning,RiskAdjustOther,TRUE,,
Risk Adjustments-Payments,PlanOpsEvalAndLearning,RiskAdjustPayments,TRUE,,
Risk Adjustments-Performance Scores,PlanOpsEvalAndLearning,RiskAdjustPerformance,TRUE,,
Risk Arrangement Change,PlanParticipantsAndProviders,WillRiskChange,TRUE,,
Risk Arrangement Change-Notes,PlanParticipantsAndProviders,WillRiskChangeNote,TRUE,,
RREG Evaluation,PlanOpsEvalAndLearning,EvaluationApproaches,TRUE,,
RREG Evaluation-Notes,PlanOpsEvalAndLearning,EvalutaionApproachNote,TRUE,,
Rulemaking Required,PlanGeneralCharacteristics,RulemakingRequired,TRUE,,
Rulemaking Required-Notes,PlanGeneralCharacteristics,RulemakingRequiredNote,TRUE,,
Stakeholder Communication,PlanOpsEvalAndLearning,Stakeholders,TRUE,,
Stakeholder Communication-Notes,PlanOpsEvalAndLearning,StakeholdersNote,TRUE,,
Support Contractors,PlanOpsEvalAndLearning,ContractorSupport,TRUE,other fields capture things in MINT for this,
Support Contractors-Notes,PlanOpsEvalAndLearning,ContractorSupportNote,TRUE,,
Targeted At Specific Geographies,PlanGeneralCharacteristics,GeographiesTargeted,TRUE,,
Targeted At Specific Geographies-Notes,PlanGeneralCharacteristics,GeographiesTargetedNote,TRUE,This might be used for actually specifying the actual geographies,
Title,ModelPlan,ModelName,TRUE,,
Track Gainsharing Payments,PlanParticipantsAndProviders,GainsharePaymentsTrack,TRUE,,
Track Gainsharing Payments-Notes,PlanParticipantsAndProviders,GainsharePaymentsNote,TRUE,,
Uses ACO,PlanOpsEvalAndLearning,IddocSupport,TRUE,,
Waiver Type,PlanGeneralCharacteristics,WaiversRequiredTypes,FALSE,needs translation,
Waiver Type-Notes,PlanGeneralCharacteristics,WaiversRequiredNote,TRUE,,
Waivers Required,PlanGeneralCharacteristics,WaiversRequired,TRUE,,
Item Type,NOT_NEEED,,,This seems to be sharepoint specific,
Path,NOT_NEEED,,,,
