Header,ModelName,Field,Direct,Note,OtherField
Obstacles Anticipated,,,,,
Other Agency State,,,,,
Other Agency State-Notes,,,,,
Paricipant Assumes Risk,,,,,
Paricipant Risk Type,,,,,
Participant Communication,,,,,
Participant Communication-Notes,,,,,
Participant Coordination,,,,,
Participant Coordination-Notes,,,,,
Participant Data,,,,,
Participant Data-Notes,,,,,
Participant ID Type,,,,,
Participant ID Type-Notes,,,,,
Participant IDs,,,,,
Participant Management,,,,,
Participant Management-Notes,,,,,
Participant Recruitment,,,,,
Participant Recruitment-Notes,,,,,
Participant Risk Type-Notes,,,,,
Participant Selection,,,,,
Participant Selection-Notes,,,,,
Participants,,,,,
Participants-Notes,,,,,
Payment Complexity,,,,,
Payment Complexity-Notes,,,,,
Payment Frequency,,,,,
Payment Frequency-Notes,,,,,
Payment Notes,,,,,
Payment Recipients,,,,,
Payment Recipients-Notes,,,,,
Payment Recovery,,,,,
Payment Recovery-Notes,,,,,
Payment Start,,,,,
Payment Start-Notes,,,,,
Performance Benchmark,,,,,
Performance Benchmark-Notes,,,,,
Performance End Date,,,,,
Performance Scores,,,,,
Performance Scores-Notes,,,,,
Performance Start Date,,,,,
Plans Contract Update,,,,,
Plans Contract Update-Notes,,,,,
Population Impacted,,,,,
Population Impacted-Notes,,,,,
Population Size,,,,,
Population Size-Notes,,,,,
Provider Overlap,,,,,
Provider Overlap-Notes,,,,,
Quality Reporting Starts,,,,,
Resembles Existing Model,,,,,
Resembles Existing Model Lookup,,,,,
Resembles Existing Model-Notes,,,,,
Review Plan Bids,,,,,
Review Plan Bids-Notes,,,,,
Risk Adjustments-Feedback Results,,,,,
Risk Adjustments-Notes,,,,,
Risk Adjustments-Others,,,,,
Risk Adjustments-Payments,,,,,
Risk Adjustments-Performance Scores,,,,,
Risk Arrangement Change,,,,,
Risk Arrangement Change-Notes,,,,,
RREG Evaluation,,,,,
RREG Evaluation-Notes,,,,,
Rulemaking Required,,,,,
Rulemaking Required-Notes,,,,,
Stakeholder Communication,,,,,
Stakeholder Communication-Notes,,,,,
Support Contractors,,,,,
Support Contractors-Notes,,,,,
Targeted At Specific Geographies,,,,,
Targeted At Specific Geographies-Notes,,,,,
Title,,,,,
Track Gainsharing Payments,,,,,
Track Gainsharing Payments-Notes,,,,,
Uses ACO,,,,,
Waiver Type,,,,,
Waiver Type-Notes,,,,,
Waivers Required,,,,,
Item Type,,,,,
Path,,,,,
